rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank0,MatMulV3,14852,3072,5120,48,71.22304,1483.8133333333333,1483.859,1494.6366,22425769082880,13190037504,314.8667774203404,56.22621025363221,5.787293999245188,40.046016219428545,1.7785299693667345,0.9219983731668853,97.28408192667709
rank0,MatMulV3,14860,3072,5120,48,71.196134,1483.2527916666668,1482.7685,1495.13813,22437848678400,13196328960,315.1554363668117,56.27775649407353,5.792242595644309,40.06758692571428,1.7769009681565893,0.921812497361163,97.33586847877163
rank0,MatMulV3,14868,3072,5120,48,71.101551,1481.2823125000002,1480.599,1493.6392,22449928273920,13202620416,315.7445647552752,56.382957992013424,5.80271291128375,40.08915763199997,1.7735855577879571,0.9225822771573577,97.50723372360753
rank0,QuantBatchMatmulV3,6144,8704,5120,67,57.635452,860.2306268656716,859.449,868.4209999999999,36689758126080,10786412544,636.583159373505,56.83778208692009,5.848403722070228,32.75871261257143,1.7593930714445083,0.9198340601545034,98.67059098028761
rank0,MatMulV3,11820,3072,5120,48,56.194162,1170.7117083333333,1169.6335,1182.2882,17847602380800,10805575680,317.6059886932739,56.71535512379891,6.009062649604064,31.870718537142853,1.7631909344783068,0.9321161233973024,97.04927752377552
rank0,QuantBatchMatmulV3,2048,5120,17408,67,41.993838000000004,626.7737014925374,629.29,641.92574,24459838750720,11454380032,582.4625686921019,52.005586490366234,8.523854761739091,21.839141741714293,1.922870344295116,0.853293403975126,97.7179833752752
rank0,QuantBatchMatmulV3,4140,8704,5120,67,41.759924,623.282447761194,622.89,630.1299399999999,24722590924800,8242302480,592.0171436327328,52.85867353863685,6.167921965087867,22.073741897142856,1.8918371064855681,0.8853042093180055,96.88370669031869
rank0,QuantBatchMatmulV3,6144,5120,8192,48,40.905954,852.207375,851.2280000000001,859.81693,24739011624960,8357019648,604.7777696361757,53.99801514608711,6.384324003297906,22.08840323657145,1.8519199220463614,0.8804154529680447,98.22030291900784
rank0,QuantBatchMatmulV3,15912,5120,7168,19,36.746904,1934.0475789473685,1933.555,1941.12942,22190971944960,6580878304,603.8868456771215,53.9184683640287,5.596456425281433,19.813367808,1.854652089240618,0.8808919523124996,99.18365544642889
rank0,QuantBatchMatmulV3,15900,5120,7168,19,36.692218999999994,1931.1694210526314,1929.695,1941.86358,22174236672000,6576441424,604.3307621160772,53.958103760364025,5.601018420281425,19.798425600000005,1.8532897383517195,0.8813638283909733,99.20226506900553
rank0,QuantBatchMatmulV3,15364,5120,7168,19,35.487502,1867.7632631578947,1867.149,1876.1048,21426727813120,6378260784,603.7823629603458,53.909139550030886,5.616643558061653,19.131006975999995,1.8549730311906405,0.8841030259329045,98.8541176760765
rank0,QuantBatchMatmulV3,15392,5120,7168,19,35.473459000000005,1867.024157894737,1866.529,1874.99082,21465776783360,6388613504,605.1221783407137,54.028765923278016,5.62798716640517,19.165872128,1.8508658913661309,0.8852078694101976,98.87677992368886
rank0,QuantBatchMatmulV3,14868,5120,7168,19,34.398693,1810.4575263157894,1810.145,1818.68318,20735003197440,6194869744,602.7846231669325,53.82005563990469,5.627820786679308,18.513395711999994,1.8580434154336956,0.8806814530714874,99.0824122642683
rank0,QuantBatchMatmulV3,14852,5120,7168,19,34.390055000000004,1810.002894736842,1808.625,1819.0622,20712689500160,6188953904,602.2871873906569,53.77564173130866,5.623858685308877,18.493472768,1.8595779944319868,0.8804713815956386,99.02885591090214
rank0,QuantBatchMatmulV3,14860,5120,7168,19,34.362111,1808.5321578947367,1808.685,1812.1286200000002,20723846348800,6191911824,603.1016647609339,53.848362925083386,5.631122153700045,18.50343424,1.8570666695870612,0.8806836826177531,99.08222030494576
rank0,MatMulV3,6144,3072,5120,48,29.035760999999997,604.9116875,604.688,609.6458700000001,9277129359360,6341787648,319.50701617085224,57.054824316223616,6.8254062292357345,16.56630242742858,1.7527001651210905,0.9273711080622273,97.68327467463314
rank0,QuantBatchMatmulV3,4140,5120,8192,48,28.390454000000002,591.4677916666667,591.1675,595.4568,16669841817600,6288122112,587.1636225894803,52.425323445489305,6.921474943655356,14.883787337142866,1.9074751175160174,0.8668303758016691,98.21416277897492
rank0,QuantBatchMatmulV3,11820,5120,7168,19,27.319868,1437.887789473684,1437.155,1444.40822,16484243865600,5067902224,603.3793379089533,53.87315517044226,5.796951306646138,14.718074879999998,1.8562120537329405,0.8832595352217659,98.8239784577656
