rank,type,m,k,n,count,total_ms,mean_us,p50_us,p99_us,operations,modeled_bytes,effective_tops,compute_util_pct,modeled_mbu_pct,roofline_lower_ms,ideal_speedup,duration_weighted_aic_mac_ratio,duration_weighted_cube_utilization(%)
rank1,QuantBatchMatmulV3,2048,5120,17408,134,83.561729,623.5949925373135,625.95,634.45167,48919677501440,22908760064,585.431609504394,52.27067942003519,8.567304202142585,43.67828348342854,1.913118427185976,0.8543400746530746,98.06408481554995
rank1,QuantBatchMatmulV3,12288,5120,8192,48,81.376189,1695.3372708333334,1694.485,1715.7448,49478023249920,14699986944,608.0159793415737,54.28714101264051,5.645073794252026,44.1768064731429,1.8420568505664232,0.8903540223295541,97.80130249218232
rank1,MatMulV3,16384,3072,5120,48,78.033626,1625.7005416666668,1626.001,1633.88373,24739011624960,14394851328,317.03014319698536,56.61252557089025,5.764682830450555,44.1768064731429,1.7663935496885725,0.923811781731122,98.56054587864469
rank1,MatMulV3,12288,3072,5120,48,57.473302000000004,1197.3604583333333,1196.786,1206.67427,18554258718720,11173625856,322.8326557384853,57.64868852472952,6.075443655560281,33.13260485485716,1.734644838574307,0.9349146342766247,98.10495521189995
rank1,QuantBatchMatmulV3,2048,8704,5120,134,42.624887,318.09617164179105,317.525,325.2834,24459838750720,11172950016,573.8393805177712,51.235658974801,8.19133404388849,21.83914174171427,1.9517656647918322,0.876202551692395,93.49502422404076
rank1,QuantBatchMatmulV3,16384,5120,7168,19,37.737561,1986.1874210526316,1986.219,1989.253,22849226014720,6755395584,605.477021016806,54.060448305071965,5.594058185159342,20.401094656000005,1.849781182643614,0.8827889731930476,99.09254531126163
rank1,QuantBatchMatmulV3,2048,5120,8192,96,28.940398000000002,301.4624791666667,301.664,306.683,16492674416640,8256749568,569.8841604265427,50.88251432379847,8.915683329579641,14.725602157714322,1.9653116857322506,0.8529969161101377,95.5598270380041
rank1,QuantBatchMatmulV3,12288,5120,7168,19,27.928236000000002,1469.9071578947369,1468.878,1487.14882,17136919511040,5240940544,613.6055106036771,54.78620630389975,5.864294185998714,15.300820991999995,1.8252769583149968,0.8895249222686317,98.64308639177926
rank1,MatMulV3,2048,3072,5120,96,24.116654999999998,251.21515624999998,251.0905,255.03305,6184752906240,6241124352,256.4515230756504,45.79491483493758,8.087155370427617,11.04420161828573,2.1836485636110075,0.7679880649285733,94.86384666368532
rank1,QuantBatchMatmulV3,16384,3072,5120,19,16.952562,892.240105263158,891.712,898.3596,9792525434880,4444256256,577.6428031869165,51.575250284546115,8.192449495244436,8.743326281142858,1.9389144880206959,0.8433677497242008,98.95778699892087
rank1,MatMulV2,16384,5120,48,48,13.611734,283.57779166666666,283.773,287.71772999999996,386547056640,8152154112,28.398076001191324,5.071085000212737,18.715823861970854,2.5475481599999994,5.343072297404577,0.11093266464066959,88.32086598694919
rank1,QuantBatchMatmulV3,12288,3072,5120,19,12.701596,668.5050526315789,668.494,675.8024,7344394076160,3407951872,578.2260808925114,51.62732865111709,8.384654652848349,6.557494710857141,1.9369586343653724,0.8480474749787348,97.56196367251799
rank1,QuantBatchMatmulV3,2048,5120,7168,38,10.13759,266.7786842105263,266.771,272.292,5712306503680,2909605888,563.4777598699494,50.31051427410262,8.969112382726072,5.100273663999999,1.987656088251817,0.8451078523593871,95.38444141802934
rank1,MatMulV2,12288,5120,48,48,9.760364,203.34091666666666,203.356,205.5632,289910292480,6120013824,29.702815640892087,5.3040742215878725,19.59460036531425,1.91250432,5.103446772867943,0.1010605064524233,98.16317360407871
rank1,MatMulV3,16384,10240,2560,3,8.754380000000001,2918.126666666667,2921.513,2921.57278,2576980377600,1415577600,294.3646925995901,52.56512367849824,5.0531048458029,4.601750674285714,1.9024020681778593,0.8669999999999999,97.2604144841782
rank1,MatMulV2,1,5120,124160,8,8.7213,1090.1625,1091.4375,1109.3776,10171187200,10173255680,1.1662466834072902,0.20825833632273041,36.45262059555342,3.1791424000000004,2.7432869946310046,0.10411296469563025,95.39373537775333
rank1,MatMulV3,12288,10240,2560,3,6.260762,2086.9206666666664,2086.987,2089.41838,1932735283200,1101004800,308.7060781419259,55.126085382486764,5.495561083459171,3.4513130057142853,1.8140232397450342,0.8833325195878713,99.48767516653723
rank1,QuantBatchMatmulV3,2048,3072,5120,38,5.044103,132.73955263157896,132.76049999999998,136.15480000000002,2448131358720,1634381824,485.3452355592263,43.334396032073776,10.12557277280024,2.1858315702857163,2.307635715656111,0.7418798789398235,93.71841318426688
rank1,MatMulV2,8,5120,124160,4,4.454057,1113.51425,1113.3895,1118.5428299999999,40684748800,5093867520,9.134312560436475,1.6311272429350847,35.738958886246856,1.5918336,2.7980669587574982,0.10124890319095603,95.81001240868717
rank1,MatMulV2,6,5120,124160,4,4.445376,1111.344,1111.149,1117.9958,30513561600,5091799040,6.864112641990239,1.2257344003553998,35.79420953368174,1.5911872,2.7937479637845253,0.10174847369491354,95.61611214866863
rank1,MatMulV3,2048,10240,2560,6,2.184955,364.15916666666664,363.029,369.30305,644245094400,629145600,294.85508598575257,52.65269392602724,8.998263122123797,1.1504376685714286,1.899238054951032,0.890954805476543,94.20332261122084
rank1,MatMulV2,2048,5120,48,96,1.515683,15.788364583333333,15.721,16.603,96636764160,2079326208,63.75789934966613,11.385339169583238,42.87106472791475,0.6497894400000004,2.3325756109548332,0.3806895617355344,59.71072109603394
